id,title,type,time,ingredients,steps
1,Naleśniki,"['śniadanie', 'lunch', 'kolacja', 'podwieczorek', 'II śniadanie']",45,"['Mąka pszenna - typ 450 (tortowa) - 150 g', 'Mleko 3,2% - 250 ml', 'Woda gazowana - 250 ml', 'Jajko - 2 szt.', 'Olej rzepakowy - 20 ml']","['Mąkę pszenną, mleko, wodę gazowaną, jajka i szczyptę soli dodajemy do miski. Całość mieszamy za pomocą rózgi lub miksera to momentu uzyskania jednolitej konsystencji bez gródek.', 'Na patelni rozgrzewamy olej. Smażymy na nim cienkie naleśniki z obu stron na złoty kolor.', 'Podajemy je z ulubionymi dodatkami.']"
2,Szybkie bułki,"['śniadanie', 'lunch', 'kolacja', 'podwieczorek', 'II śniadanie', 'Dodatki', 'na podróż']",35,"['Mąka pszenna typ 500 - 400 g', 'Kefir - 400 g', 'Soda oczyszczona - 8 g', 'Olej rzepakowy - 5 ml']","['Blaszkę wyłóż papierem do pieczenia. Natłuść olejem.', 'Piekarnik nagrzej do 200 st. C. z termoobiegiem.', 'Mąkę przesiej z sodą i łyżeczką soli.', 'Dodaj kefir i zagnieć ciasto.', 'Gdy masa na ciasto będzie jednolita, oprósz dłonie w mące i odrywaj porcje ciasta.', 'Uformuj okrągłe bułki i wykładaj na blaszkę.', 'Bułki piecz przez 30 minut (po 10 minutach pieczenia wyłącz termoobieg).', 'Bułki są gotowe, gdy z wierzchu staną się rumiane i chrupiące (suchy patyczek).', 'Po upieczeniu wyjmij bułki od razu z piekarnika.']"
3,szybki chleb na drożdżach,"['śniadanie', 'Dodatki']",70,"['Mąka pszenna typ 1850 - 400 g', 'drożdże świeże - 30 g', 'Cukier - 20 g', 'Pestki dyni - 50 g', 'maślanka 3% - 150 g']","['Do miski przesiej mąkę pszenną, dodaj sól oraz pestki dyni.', 'W 50 ml ciepłej wody rozpuść drożdże i cukier.', 'Odstaw na 15 minut.', 'Wlej zaczyn drożdżowy do ciasta i wymieszaj.', 'Dodaj maślankę i zagnieć gładkie ciasto.', 'Odstaw do wyrośnięcia na około 2 godziny.', 'Po tym czasie przełóż chleb do koszyczka chlebowego.', 'Wierzch chleba spryskaj wodą.', 'Piecz w nagrzanym do 180 st. C piekarniku przez 50 minut.', 'Chleb wystudź i podziel na porcje.']"
4,Domowe bułki,"['śniadanie', 'Dodatki']",105,"['Mąka pszenna typ 550 - 400 g', 'drożdże suche - 7 g', 'Sól - 3 g', 'Olej rzepakowy - 24 ml']","['Wszystkie składniki przełóż do miski.', 'Dodaj 1 szklankę ciepłej wody.', 'Wyrób gładkie i elastyczne ciasto, zajmie to około 10 minut.', 'Ciasto odstaw na godzinę w ciepłe miejsce.', 'Po tym czasie zwilżonymi dłońmi uformuj 12 bułeczek.', 'Ułóż bułki na blaszce wyłożonej papierem do pieczenia.', 'Pozostaw na 30 minut do wyrośnięcia w ciepłym miejscu.', 'Bułki piecz 15 minut w temperaturze 220 stopni C.']"
5,Bułki śniadaniowe,"['śniadanie', 'kolacja']",95,"['Mąka pszenna typ 550 - 500 g', 'drożdże suche - 7 g', 'Jajko - 1 szt.', 'Masło - 50 g', 'Cukier - 6 g']","['Wszystkie składniki przełóż do miski.', 'Dodaj 200 ml wody i zagnieć ciasto. Jeśli ciasto będzie trudno się łączyć i wydaje się twarde, dodaj jeszcze 50 ml wody.', 'Zagnieć ciasto i odstaw w ciepłe miejsce na 45 minut.', 'Następnie podziel ciasto na 14 części.', 'Każdą porcję ciasta uformuj w kulkę.', 'Przełóż na blachę wyłożoną papierem do pieczenia.', 'Natnij wierzch bułeczek w krzyżyk.', 'Bułeczki odstaw na 30 minut do wyrośnięcia.', 'Bułki piecz 15-20 minut w temperaturze 220 stopni C.']"
6,chleb żytni pełnoziarnisty,['śniadanie'],200,"['Mąka żytnia typ 2000 - 600 g', 'drożdże świeże - 50 g', 'Jajko - 2 szt.', 'Cukier - 20 g']","['Drożdże rozprowadź dokładnie w 300 ml ciepłej wodzy z dodatkiem cukru, odstaw na 15 minut.', 'Przesiej mąkę do miski, dodaj sól, nasiona słonecznika,  jedno jajko i zaczyn drożdżowy.', 'Wyrób gładkie ciasto i odstaw do wyrośnięcia na około 2 godziny.', 'Foremkę keksową posmaruj masłem i wysyp bułką tartą.', 'Ciasto na chleb umieść w formie i pozostaw jeszcze na około 20 minut.', 'Jajko wymieszaj z wodą i posmaruj wierzch chleba.', 'Piecz w nagrzanym do 180 stopni C piekarniku przez 40 minut.']"
7,Zapiekanki z chleba tostowego,"['śniadanie', 'lunch', 'kolacja', 'podwieczorek', 'II śniadanie']",55,"['Chleb tostowy żytni - 120 g', 'Szynka kanapkowa - 100 g', 'Ser Mozzarella - 100 g', 'Pieczarki - 100 g', 'Cebula - 100 g', 'Oliwa z oliwek - 10 ml']","['Pieczarki i cebule pokrój w kostkę.', 'Na rozgrzanej oliwie z oliwek podsmaż cebulę na złoty kolor.', 'Następnie dodaj pieczarki i przyprawy.', 'Smaż, aż grzyby będą miękkie.', 'Na każdą kromkę chleba połóż po plastrze szynki, a następnie pieczarki.', 'Całość posyp tartym serem mozzarella.', 'Zapiekanki zapiecz w piekarniku około 10 minut w temperaturze 180 stopni.']"
8,pieczywo bezglutenowe,['śniadanie'],170,"['Mąka gryczana - 300 g', 'Mąka kokosowa - 50 g', 'Mąka ryżowa - 250 g', 'Jajko - 2 szt.', 'Białko jajka - 1 szt.', 'drożdże świeże - 50 g', 'Siemię lniane (całe) - 50 g', 'Cukier - 30 g']","['W 250 ml ciepłej wody rozpuść drożdże i cukier.', 'W misce umieść mąki i siemię lniane, dopraw solą i wlej drożdże, wbij jajko, zagnieć gładkie ciasto. Odstaw do wyrośnięcia na 70 minut.', 'Blaszkę do chleba lub keksówkę wyłóż papierem do pieczenia, przełóż masę na chleb i odstaw jeszcze na 20 minut.', 'Roztrzep białko jajka z wodą i posmaruj wierzch chleba.', 'Piecz w nagrzanym do 180 stopni piekarniku przez 50 minut.', 'Upieczony chleb wyciągnij z piekarnika i pozostaw do wystygnięcia.']"
9,bułeczki bezglutenowe,['śniadanie'],130,"['Mąka ryżowa - 200 g', 'Mąka gryczana - 200 g', 'drożdże świeże - 40 g', 'Masło - 30 g', 'Sezam nasiona - 40 g', 'Cukier - 30 g', 'nasiona chia - 40 g']","['W 250 ml ciepłej wody rozpuść drożdże i cukier, dodaj łyżkę mąki gryczanej i wymieszaj.', 'Do miski przesiej mąkę ryżową i gryczaną, dodaj sól i suszone pomidory, roztopione masło oraz nasiona chia.', 'Dodaj zaczyn drożdżowy i zagnieć gładkie ciasto, odstaw do wyrośnięcia na 60-90 minut.', 'Po tym czasie ciasto podziel na równe kawałki i formuj bułeczki. Wierzch posyp sezamem lub słonecznikiem.', 'Piecz w nagrzanym do 200 stopni piekarniku przez 20-25 minut.']"
10,chleb w jajku,['śniadanie'],15,"['Chleb pszenny - 60 g', 'Jajko - 1 szt.', 'Oliwa z oliwek - 10 ml']","['Jajko wymieszaj ze szczyptą soli, pieprzu i papryki.', 'Chleb zamocz z dwóch stron w jajku.', 'Rozgrzej patelnię z oliwą i smaż chleb z dwóch stron.']"
